time,pose_id,joint,leader_deg,follower_deg,delta_deg,note
2026-08-31 11:12:47,1_home,shoulder_pan,1.54,1.15,-0.39,✅ 良好
2026-08-31 11:12:47,1_home,shoulder_lift,-61.12,-61.47,-0.34,✅ 良好
2026-08-31 11:12:47,1_home,elbow_flex,54.79,54.92,+0.13,✅ 良好
2026-08-31 11:12:47,1_home,wrist_flex,-10.23,-6.76,+3.47,🟡 輕微背隙/負載
2026-08-31 11:12:47,1_home,wrist_roll,1.23,1.25,+0.02,✅ 良好
2026-08-31 11:12:47,1_home,gripper,59.24,59.12,-0.12,✅ 良好
2026-08-31 11:13:09,2_j1_mid,shoulder_pan,27.42,26.89,-0.54,✅ 良好
2026-08-31 11:13:09,2_j1_mid,shoulder_lift,-61.90,-61.42,+0.49,✅ 良好
2026-08-31 11:13:09,2_j1_mid,elbow_flex,54.77,54.63,-0.14,✅ 良好
2026-08-31 11:13:09,2_j1_mid,wrist_flex,-19.51,-13.50,+6.01,🔴 偏差較大
2026-08-31 11:13:09,2_j1_mid,wrist_roll,0.56,1.29,+0.73,✅ 良好
2026-08-31 11:13:09,2_j1_mid,gripper,58.93,58.95,+0.02,✅ 良好
2026-08-31 11:13:29,3_j2_mid,shoulder_pan,2.03,2.86,+0.83,✅ 良好
2026-08-31 11:13:29,3_j2_mid,shoulder_lift,-1.25,0.22,+1.47,✅ 良好
2026-08-31 11:13:29,3_j2_mid,elbow_flex,2.08,3.25,+1.17,✅ 良好
2026-08-31 11:13:29,3_j2_mid,wrist_flex,-53.45,-48.53,+4.92,🟡 輕微背隙/負載
2026-08-31 11:13:29,3_j2_mid,wrist_roll,-0.41,-1.05,-0.63,✅ 良好
2026-08-31 11:13:29,3_j2_mid,gripper,58.08,58.22,+0.14,✅ 良好
2026-08-31 11:13:57,4_j3_mid,shoulder_pan,-0.32,-0.42,-0.10,✅ 良好
2026-08-31 11:13:57,4_j3_mid,shoulder_lift,-1.15,-0.85,+0.29,✅ 良好
2026-08-31 11:13:57,4_j3_mid,elbow_flex,-47.98,-48.14,-0.16,✅ 良好
2026-08-31 11:13:57,4_j3_mid,wrist_flex,-55.95,-56.73,-0.78,✅ 良好
2026-08-31 11:13:57,4_j3_mid,wrist_roll,2.81,2.56,-0.24,✅ 良好
2026-08-31 11:13:57,4_j3_mid,gripper,59.78,59.76,-0.02,✅ 良好
2026-08-31 11:14:42,5_gripper,shoulder_pan,-20.53,-20.05,+0.48,✅ 良好
2026-08-31 11:14:42,5_gripper,shoulder_lift,2.60,4.13,+1.53,✅ 良好
2026-08-31 11:14:42,5_gripper,elbow_flex,8.95,9.29,+0.34,✅ 良好
2026-08-31 11:14:42,5_gripper,wrist_flex,-49.61,-43.83,+5.77,🔴 偏差較大
2026-08-31 11:14:42,5_gripper,wrist_roll,-1.65,-1.99,-0.34,✅ 良好
2026-08-31 11:14:42,5_gripper,gripper,47.50,49.30,+1.81,✅ 良好
