point_id,target_x_cm,target_y_cm,target_z_cm,fk_x_cm,fk_y_cm,fk_z_cm,pitch_deg,pitch_err_deg,error_horiz_cm,error_vert_cm,error_total_cm,note,state_shoulder_pan,state_shoulder_lift,state_elbow_flex,state_wrist_flex,state_wrist_roll,state_gripper
0,20.00,10.00,0.00,16.24,7.95,6.49,87.7,-2.3,4.28,6.49,7.78,,13.601954,33.919414,-5.006105,-31.428571,1.929182,50.402930
1,20.00,5.00,0.00,13.64,4.47,5.17,84.6,-5.4,6.38,5.17,8.21,,9.304029,33.235653,2.026862,-36.263736,1.880342,50.256410
2,20.00,0.00,0.00,15.44,1.50,6.49,82.7,-7.3,4.80,6.49,8.07,,2.710623,31.965812,-0.561661,-31.330891,1.831502,50.207570
3,20.00,-5.00,0.00,15.70,-3.16,6.62,84.1,-5.9,4.67,6.62,8.10,,-6.178266,31.916972,-1.050061,-31.526252,1.880342,50.231990
4,20.00,-10.00,0.00,18.93,-6.78,7.22,86.2,-3.8,3.39,7.22,7.97,,-10.769231,36.361416,-12.039072,-25.811966,1.880342,50.134310
5,20.00,-15.00,0.00,20.32,-13.53,7.02,83.3,-6.7,1.50,7.02,7.18,,-18.437118,50.231990,-36.947497,-12.380952,1.880342,50.061050
6,15.00,-15.00,0.00,12.69,-12.23,6.86,82.5,-7.5,3.60,6.86,7.75,,-23.565324,33.821734,-5.738706,-27.716728,1.880342,50.134310
7,15.00,0.00,0.00,9.77,0.99,6.38,84.5,-5.5,5.33,6.38,8.31,,2.905983,26.300366,14.481074,-42.124542,1.929182,50.134310
8,10.00,10.00,0.00,6.13,5.84,5.57,87.6,-2.4,5.68,5.57,7.95,,21.904762,27.912088,17.948718,-49.010989,1.978022,50.402930
9,25.00,0.00,0.00,25.59,2.39,8.23,86.5,-3.5,2.47,8.23,8.59,,2.564103,52.722833,-43.882784,-9.548230,1.831502,50.354090
10,23.00,10.00,0.00,24.27,11.58,8.41,88.9,-1.1,2.03,8.41,8.66,,13.455433,57.167277,-51.843712,-8.278388,1.831502,50.305250
