placement_id,r_cm,theta_deg,x_cm,y_cm
train_001,27.79,-13.41,27.04,-6.44
train_002,36.34,-32.05,30.80,-19.28
train_003,35.66,-61.88,16.81,-31.45
train_004,26.97,28.00,23.82,12.66
train_005,24.64,2.03,24.62,0.87
train_006,26.67,40.76,20.20,17.41
train_007,29.79,0.15,29.79,0.08
train_008,29.92,-23.05,27.53,-11.72
train_009,36.69,-0.70,36.69,-0.45
train_010,36.19,-36.89,28.94,-21.72
train_011,23.18,-18.63,21.97,-7.41
train_012,30.03,9.30,29.64,4.85
train_013,28.44,16.22,27.30,7.95
train_014,30.28,60.72,14.81,26.41
train_015,34.41,6.27,34.21,3.76
train_016,26.45,-25.63,23.85,-11.44
train_017,29.29,46.37,20.21,21.20
train_018,31.82,25.26,28.78,13.58
train_019,37.05,-9.69,36.52,-6.24
train_020,35.88,-15.10,34.64,-9.35
train_021,26.06,-9.14,25.72,-4.14
train_022,38.57,62.90,17.57,34.34
train_023,37.11,8.75,36.68,5.64
train_024,33.34,-40.59,25.32,-21.69
train_025,33.18,-13.15,32.30,-7.55
train_026,33.07,45.52,23.17,23.60
train_027,29.84,38.49,23.36,18.57
train_028,22.79,-45.55,15.96,-16.27
train_029,26.87,-36.06,21.72,-15.82
train_030,32.47,16.82,31.08,9.40
train_031,37.53,28.32,33.03,17.81
train_032,32.49,56.89,17.74,27.21
train_033,32.64,36.19,26.34,19.27
train_034,28.66,-46.59,19.70,-20.82
train_035,35.77,16.10,34.36,9.92
train_036,34.13,-53.33,20.38,-27.37
train_037,32.19,-63.91,14.16,-28.91
train_038,29.13,-64.62,12.48,-26.31
train_039,32.79,1.62,32.78,0.93
train_040,22.30,5.32,22.20,2.07
train_041,34.06,-18.53,32.29,-10.82
train_042,23.82,48.32,15.84,17.79
train_043,22.11,-61.70,10.48,-19.47
train_044,27.71,-30.88,23.78,-14.22
train_045,36.04,40.48,27.41,23.40
train_046,34.09,-28.61,29.93,-16.33
train_047,36.84,-52.48,22.44,-29.22
train_048,37.63,50.40,23.98,28.99
train_049,24.55,16.77,23.51,7.08
train_050,28.06,32.05,23.78,14.89
train_051,20.22,-8.53,20.00,-3.00
train_052,19.92,17.53,19.00,6.00
train_053,18.03,3.18,18.00,1.00
train_054,17.09,-20.56,16.00,-6.00
train_055,14.14,-8.13,14.00,-2.00
train_056,12.65,18.43,12.00,4.00
train_057,18.87,32.01,16.00,10.00
train_058,20.62,50.91,13.00,16.00
train_059,14.42,-33.69,12.00,-8.00
train_060,18.89,-46.50,13.00,-13.70
