placement_id,r_cm,theta_deg,x_cm,y_cm
train_001,29.47,-85.42,2.36,-29.38
train_002,35.41,-12.31,34.59,-7.55
train_003,34.47,-42.83,25.28,-23.44
train_004,28.44,8.16,28.15,4.04
train_005,25.46,-18.41,24.15,-8.04
train_006,28.05,21.22,26.15,10.15
train_007,31.96,-51.06,20.09,-24.86
train_008,37.12,-54.32,21.65,-30.15
train_009,35.89,-82.66,4.58,-35.59
train_010,35.20,33.95,29.20,19.66
train_011,23.57,-39.55,18.17,-15.01
train_012,32.27,-62.19,15.06,-28.54
train_013,23.90,-55.10,13.68,-19.60
train_014,32.57,-9.56,32.12,-5.41
train_015,32.74,-75.53,8.18,-31.70
train_016,38.25,-26.23,34.31,-16.90
train_017,31.35,-3.76,31.28,-2.06
train_018,29.03,-45.85,20.22,-20.83
train_019,36.38,0.33,36.38,0.21
train_020,22.76,-25.70,20.51,-9.87
train_021,37.88,82.83,4.73,37.59
train_022,30.03,26.71,26.83,13.50
train_023,28.81,56.93,15.72,24.14
train_024,36.46,19.19,34.43,11.98
train_025,31.22,-21.05,29.14,-11.22
train_026,24.79,-74.92,6.45,-23.94
train_027,24.62,-66.09,9.98,-22.50
train_028,32.03,80.36,5.37,31.58
train_029,34.96,55.81,19.64,28.92
train_030,38.64,-57.38,20.83,-32.54
train_031,35.27,6.97,35.01,4.28
train_032,37.02,-73.44,10.55,-35.49
train_033,23.55,58.22,12.40,20.02
train_034,37.61,45.70,26.27,26.92
train_035,30.22,16.55,28.97,8.61
train_036,32.35,6.89,32.11,3.88
train_037,23.00,47.27,15.61,16.90
train_038,31.14,67.03,12.15,28.67
train_039,24.11,-8.59,23.84,-3.60
train_040,29.11,46.41,20.07,21.08
train_041,26.34,32.25,22.28,14.06
train_042,24.40,-83.70,2.68,-24.26
train_043,22.15,80.26,3.75,21.83
train_044,34.76,60.59,17.07,30.28
train_045,29.65,41.42,22.23,19.62
train_046,37.26,-19.04,35.22,-12.15
train_047,36.09,69.21,12.81,33.74
train_048,26.26,0.36,26.26,0.17
train_049,31.43,-34.06,26.04,-17.60
train_050,23.97,37.10,19.12,14.46
