placement_id,r_cm,theta_deg,x_cm,y_cm
train_001,30.61,-4.43,30.52,-2.36
train_002,34.21,-31.38,29.21,-17.81
train_003,26.13,-66.37,10.47,-23.94
train_004,37.81,-4.88,37.68,-3.22
train_005,28.85,-44.10,20.72,-20.08
train_006,30.98,-57.65,16.58,-26.17
train_007,35.24,-12.45,34.41,-7.60
train_008,29.60,3.57,29.54,1.84
train_009,38.89,-84.87,3.48,-38.73
train_010,33.46,-40.79,25.34,-21.86
train_011,33.99,25.26,30.74,14.51
train_012,31.43,40.51,23.89,20.41
train_013,34.22,-1.48,34.20,-0.88
train_014,26.20,22.35,24.23,9.96
train_015,28.06,-86.06,1.93,-28.00
train_016,34.27,-76.92,7.76,-33.38
train_017,36.93,-16.95,35.32,-10.77
train_018,28.31,27.57,25.10,13.10
train_019,24.33,16.95,23.28,7.10
train_020,35.68,-27.88,31.54,-16.69
train_021,24.81,-17.76,23.63,-7.57
train_022,25.12,-82.47,3.29,-24.90
train_023,23.28,-9.88,22.93,-3.99
train_024,29.87,-24.44,27.19,-12.36
train_025,26.55,-51.31,16.60,-20.72
train_026,22.34,-46.51,15.38,-16.21
train_027,22.89,-75.23,5.83,-22.13
train_028,37.24,28.66,32.68,17.86
train_029,37.62,6.63,37.37,4.35
train_030,34.13,35.52,27.77,19.83
train_031,24.77,-3.18,24.73,-1.38
train_032,27.23,8.89,26.91,4.21
train_033,38.44,-53.27,22.99,-30.81
train_034,28.58,-53.65,16.94,-23.02
train_035,38.49,-61.31,18.48,-33.77
train_036,27.96,-72.41,8.45,-26.65
train_037,35.84,19.83,33.71,12.16
train_038,29.46,-14.61,28.51,-7.43
train_039,29.44,13.10,28.67,6.67
train_040,37.37,-24.42,34.03,-15.45
train_041,35.73,-74.25,9.70,-34.39
train_042,31.68,-85.95,2.24,-31.60
train_043,31.87,16.02,30.63,8.79
train_044,34.89,7.26,34.61,4.41
train_045,34.82,-66.07,14.12,-31.82
train_046,22.86,-31.59,19.48,-11.98
train_047,38.06,-43.92,27.42,-26.40
train_048,35.34,-51.18,22.15,-27.53
train_049,30.89,-31.68,26.29,-16.22
train_050,33.02,-18.30,31.35,-10.37
