short_id,placement_id,x_pan_cm,y_pan_cm,x_mat_cm,y_mat_cm
t1,train_001,27.04,-6.44,19.91,-6.44
t2,train_002,30.8,-19.28,23.67,-19.28
t3,train_003,16.81,-31.45,9.68,-31.45
t4,train_004,23.82,12.66,16.69,12.66
t5,train_005,24.62,0.87,17.49,0.87
t6,train_006,20.2,17.41,13.07,17.41
t7,train_007,29.79,0.08,22.66,0.08
t8,train_008,27.53,-11.72,20.4,-11.72
t9,train_009,36.69,-0.45,29.56,-0.45
t10,train_010,28.94,-21.72,21.81,-21.72
t11,train_011,21.97,-7.41,14.84,-7.41
t12,train_012,29.64,4.85,22.51,4.85
t13,train_013,27.3,7.95,20.17,7.95
t14,train_014,14.81,26.41,7.68,26.41
t15,train_015,34.21,3.76,27.08,3.76
t16,train_016,23.85,-11.44,16.72,-11.44
t17,train_017,20.21,21.2,13.08,21.2
t18,train_018,28.78,13.58,21.65,13.58
t19,train_019,36.52,-6.24,29.39,-6.24
t20,train_020,34.64,-9.35,27.51,-9.35
t21,train_021,25.72,-4.14,18.59,-4.14
t22,train_022,17.57,34.34,10.44,34.34
t23,train_023,36.68,5.64,29.55,5.64
t24,train_024,25.32,-21.69,18.19,-21.69
t25,train_025,32.3,-7.55,25.17,-7.55
t26,train_026,23.17,23.6,16.04,23.6
t27,train_027,23.36,18.57,16.23,18.57
t28,train_028,15.96,-16.27,8.83,-16.27
t29,train_029,21.72,-15.82,14.59,-15.82
t30,train_030,31.08,9.4,23.95,9.4
t31,train_031,33.03,17.81,25.9,17.81
t32,train_032,17.74,27.21,10.61,27.21
t33,train_033,26.34,19.27,19.21,19.27
t34,train_034,19.7,-20.82,12.57,-20.82
t35,train_035,34.36,9.92,27.23,9.92
t36,train_036,20.38,-27.37,13.25,-27.37
t37,train_037,14.16,-28.91,7.03,-28.91
t38,train_038,12.48,-26.31,5.35,-26.31
t39,train_039,32.78,0.93,25.65,0.93
t40,train_040,22.2,2.07,15.07,2.07
t41,train_041,32.29,-10.82,25.16,-10.82
t42,train_042,15.84,17.79,8.71,17.79
t43,train_043,10.48,-19.47,3.35,-19.47
t44,train_044,23.78,-14.22,16.65,-14.22
t45,train_045,27.41,23.4,20.28,23.4
t46,train_046,29.93,-16.33,22.8,-16.33
t47,train_047,22.44,-29.22,15.31,-29.22
t48,train_048,23.98,28.99,16.85,28.99
t49,train_049,23.51,7.08,16.38,7.08
t50,train_050,23.78,14.89,16.65,14.89
t51,train_051,20.0,-3.0,12.87,-3.0
t52,train_052,19.0,6.0,11.87,6.0
t53,train_053,18.0,1.0,10.87,1.0
t54,train_054,16.0,-6.0,8.87,-6.0
t55,train_055,14.0,-2.0,6.87,-2.0
t56,train_056,12.0,4.0,4.87,4.0
t57,train_057,16.0,10.0,8.87,10.0
t58,train_058,13.0,16.0,5.87,16.0
t59,train_059,12.0,-8.0,4.87,-8.0
t60,train_060,13.0,-13.7,5.87,-13.7
o1,eval-open_001,21.55,7.51,14.42,7.51
o2,eval-open_002,22.29,27.33,15.16,27.33
o3,eval-open_003,33.03,7.35,25.9,7.35
o4,eval-open_004,18.72,-14.13,11.59,-14.13
o5,eval-open_005,24.44,-30.16,17.31,-30.16
o6,eval-open_006,14.49,-21.5,7.36,-21.5
o7,eval-open_007,10.09,19.69,2.96,19.69
o8,eval-open_008,27.34,1.02,20.21,1.02
o9,eval-open_009,27.61,-17.83,20.48,-17.83
o10,eval-open_010,29.42,19.43,22.29,19.43
o11,eval-open_011,16.0,-1.0,8.87,-1.0
o12,eval-open_012,13.0,-11.0,5.87,-11.0
c1,eval-close_001,24.15,-2.38,17.02,-2.38
c2,eval-close_002,27.67,-23.63,20.54,-23.63
c3,eval-close_003,21.0,23.53,13.87,23.53
c4,eval-close_004,29.84,-5.69,22.71,-5.69
c5,eval-close_005,25.48,26.17,18.35,26.17
c6,eval-close_006,35.45,-15.83,28.32,-15.83
c7,eval-close_007,16.56,-27.7,9.43,-27.7
c8,eval-close_008,34.19,-6.82,27.06,-6.82
c9,eval-close_009,13.91,21.47,6.78,21.47
c10,eval-close_010,31.08,-14.37,23.95,-14.37
c11,eval-close_011,26.33,16.35,19.2,16.35
c12,eval-close_012,31.38,-22.12,24.25,-22.12
c13,eval-close_013,31.41,13.49,24.28,13.49
c14,eval-close_014,18.67,13.09,11.54,13.09
c15,eval-close_015,31.24,6.37,24.11,6.37
c16,eval-close_016,14.82,31.78,7.69,31.78
c17,eval-close_017,11.17,-22.84,4.04,-22.84
c18,eval-close_018,25.92,3.83,18.79,3.83
c19,eval-close_019,35.01,13.1,27.88,13.1
c20,eval-close_020,24.51,-16.22,17.38,-16.22
c21,eval-close_021,24.94,10.97,17.81,10.97
c22,eval-close_022,38.27,1.3,31.14,1.3
c23,eval-close_023,22.21,-20.12,15.08,-20.12
c24,eval-close_024,17.71,-19.69,10.58,-19.69
c25,eval-close_025,25.2,-8.06,18.07,-8.06
c26,eval-close_026,21.26,-32.67,14.13,-32.67
c27,eval-close_027,17.76,22.23,10.63,22.23
c28,eval-close_028,30.22,21.6,23.09,21.6
c29,eval-close_029,17.46,24.27,10.33,24.27
c30,eval-close_030,20.1,-11.4,12.97,-11.4
c31,eval-close_031,16.0,-5.0,8.87,-5.0
c32,eval-close_032,21.0,3.0,13.87,3.0
c33,eval-close_033,13.0,0.0,5.87,0.0
c34,eval-close_034,17.0,6.0,9.87,6.0
c35,eval-close_035,14.0,9.0,6.87,9.0
c36,eval-close_036,12.0,-13.0,4.87,-13.0
