short_id,placement_id,x_pan_cm,y_pan_cm,x_mat_cm,y_mat_cm
t1,train_001,30.52,-2.36,23.39,-2.36
t2,train_002,29.21,-17.81,22.08,-17.81
t3,train_003,10.47,-23.94,3.34,-23.94
t4,train_004,37.68,-3.22,30.55,-3.22
t5,train_005,20.72,-20.08,13.59,-20.08
t6,train_006,16.58,-26.17,9.45,-26.17
t7,train_007,34.41,-7.6,27.28,-7.6
t8,train_008,29.54,1.84,22.41,1.84
t9,train_009,3.48,-38.73,-3.65,-38.73
t10,train_010,25.34,-21.86,18.21,-21.86
t11,train_011,30.74,14.51,23.61,14.51
t12,train_012,23.89,20.41,16.76,20.41
t13,train_013,34.2,-0.88,27.07,-0.88
t14,train_014,24.23,9.96,17.1,9.96
t15,train_015,1.93,-28.0,-5.2,-28.0
t16,train_016,7.76,-33.38,0.63,-33.38
t17,train_017,35.32,-10.77,28.19,-10.77
t18,train_018,25.1,13.1,17.97,13.1
t19,train_019,23.28,7.1,16.15,7.1
t20,train_020,31.54,-16.69,24.41,-16.69
t21,train_021,23.63,-7.57,16.5,-7.57
t22,train_022,3.29,-24.9,-3.84,-24.9
t23,train_023,22.93,-3.99,15.8,-3.99
t24,train_024,27.19,-12.36,20.06,-12.36
t25,train_025,16.6,-20.72,9.47,-20.72
t26,train_026,15.38,-16.21,8.25,-16.21
t27,train_027,5.83,-22.13,-1.3,-22.13
t28,train_028,32.68,17.86,25.55,17.86
t29,train_029,37.37,4.35,30.24,4.35
t30,train_030,27.77,19.83,20.64,19.83
t31,train_031,24.73,-1.38,17.6,-1.38
t32,train_032,26.91,4.21,19.78,4.21
t33,train_033,22.99,-30.81,15.86,-30.81
t34,train_034,16.94,-23.02,9.81,-23.02
t35,train_035,18.48,-33.77,11.35,-33.77
t36,train_036,8.45,-26.65,1.32,-26.65
t37,train_037,33.71,12.16,26.58,12.16
t38,train_038,28.51,-7.43,21.38,-7.43
t39,train_039,28.67,6.67,21.54,6.67
t40,train_040,34.03,-15.45,26.9,-15.45
t41,train_041,9.7,-34.39,2.57,-34.39
t42,train_042,2.24,-31.6,-4.89,-31.6
t43,train_043,30.63,8.79,23.5,8.79
t44,train_044,34.61,4.41,27.48,4.41
t45,train_045,14.12,-31.82,6.99,-31.82
t46,train_046,19.48,-11.98,12.35,-11.98
t47,train_047,27.42,-26.4,20.29,-26.4
t48,train_048,22.15,-27.53,15.02,-27.53
t49,train_049,26.29,-16.22,19.16,-16.22
t50,train_050,31.35,-10.37,24.22,-10.37
o1,eval-open_001,38.26,1.34,31.13,1.34
o2,eval-open_002,19.76,11.26,12.63,11.26
o3,eval-open_003,33.7,-17.48,26.57,-17.48
o4,eval-open_004,21.79,-25.08,14.66,-25.08
o5,eval-open_005,24.88,-4.48,17.75,-4.48
o6,eval-open_006,17.82,-19.01,10.69,-19.01
o7,eval-open_007,34.68,16.77,27.55,16.77
o8,eval-open_008,21.77,4.67,14.64,4.67
o9,eval-open_009,11.56,-33.46,4.43,-33.46
o10,eval-open_010,3.11,-22.31,-4.02,-22.31
c1,eval-close_001,25.32,-9.46,18.19,-9.46
c2,eval-close_002,6.54,-27.67,-0.59,-27.67
c3,eval-close_003,22.8,-10.2,15.67,-10.2
c4,eval-close_004,31.22,11.91,24.09,11.91
c5,eval-close_005,35.34,14.53,28.21,14.53
c6,eval-close_006,29.04,-13.18,21.91,-13.18
c7,eval-close_007,35.04,1.06,27.91,1.06
c8,eval-close_008,37.89,-7.68,30.76,-7.68
c9,eval-close_009,10.8,-26.62,3.67,-26.62
c10,eval-close_010,11.47,-36.0,4.34,-36.0
c11,eval-close_011,32.12,4.66,24.99,4.66
c12,eval-close_012,27.37,-9.18,20.24,-9.18
c13,eval-close_013,32.85,-13.68,25.72,-13.68
c14,eval-close_014,21.51,10.25,14.38,10.25
c15,eval-close_015,36.52,2.49,29.39,2.49
c16,eval-close_016,23.98,5.22,16.85,5.22
c17,eval-close_017,29.72,19.08,22.59,19.08
c18,eval-close_018,18.32,-30.91,11.19,-30.91
c19,eval-close_019,18.73,-16.56,11.6,-16.56
c20,eval-close_020,4.07,-30.23,-3.06,-30.23
c21,eval-close_021,28.12,-0.3,20.99,-0.3
c22,eval-close_022,32.78,-4.24,25.65,-4.24
c23,eval-close_023,4.49,-36.21,-2.64,-36.21
c24,eval-close_024,14.14,-20.51,7.01,-20.51
c25,eval-close_025,10.79,-29.42,3.66,-29.42
c26,eval-close_026,21.17,13.05,14.04,13.05
c27,eval-close_027,20.18,-26.55,13.05,-26.55
c28,eval-close_028,22.88,-19.51,15.75,-19.51
c29,eval-close_029,25.96,16.52,18.83,16.52
c30,eval-close_030,24.9,-25.88,17.77,-25.88
