short_id,placement_id,x_pan_cm,y_pan_cm,x_mat_cm,y_mat_cm
t1,train_001,2.36,-29.38,-4.77,-29.38
t2,train_002,34.59,-7.55,27.46,-7.55
t3,train_003,25.28,-23.44,18.15,-23.44
t4,train_004,28.15,4.04,21.02,4.04
t5,train_005,24.15,-8.04,17.02,-8.04
t6,train_006,26.15,10.15,19.02,10.15
t7,train_007,20.09,-24.86,12.96,-24.86
t8,train_008,21.65,-30.15,14.52,-30.15
t9,train_009,4.58,-35.59,-2.55,-35.59
t10,train_010,29.2,19.66,22.07,19.66
t11,train_011,18.17,-15.01,11.04,-15.01
t12,train_012,15.06,-28.54,7.93,-28.54
t13,train_013,13.68,-19.6,6.55,-19.6
t14,train_014,32.12,-5.41,24.99,-5.41
t15,train_015,8.18,-31.7,1.05,-31.7
t16,train_016,34.31,-16.9,27.18,-16.9
t17,train_017,31.28,-2.06,24.15,-2.06
t18,train_018,20.22,-20.83,13.09,-20.83
t19,train_019,36.38,0.21,29.25,0.21
t20,train_020,20.51,-9.87,13.38,-9.87
t21,train_021,4.73,37.59,-2.4,37.59
t22,train_022,26.83,13.5,19.7,13.5
t23,train_023,15.72,24.14,8.59,24.14
t24,train_024,34.43,11.98,27.3,11.98
t25,train_025,29.14,-11.22,22.01,-11.22
t26,train_026,6.45,-23.94,-0.68,-23.94
t27,train_027,9.98,-22.5,2.85,-22.5
t28,train_028,5.37,31.58,-1.76,31.58
t29,train_029,19.64,28.92,12.51,28.92
t30,train_030,20.83,-32.54,13.7,-32.54
t31,train_031,35.01,4.28,27.88,4.28
t32,train_032,10.55,-35.49,3.42,-35.49
t33,train_033,12.4,20.02,5.27,20.02
t34,train_034,26.27,26.92,19.14,26.92
t35,train_035,28.97,8.61,21.84,8.61
t36,train_036,32.11,3.88,24.98,3.88
t37,train_037,15.61,16.9,8.48,16.9
t38,train_038,12.15,28.67,5.02,28.67
t39,train_039,23.84,-3.6,16.71,-3.6
t40,train_040,20.07,21.08,12.94,21.08
t41,train_041,22.28,14.06,15.15,14.06
t42,train_042,2.68,-24.26,-4.45,-24.26
t43,train_043,3.75,21.83,-3.38,21.83
t44,train_044,17.07,30.28,9.94,30.28
t45,train_045,22.23,19.62,15.1,19.62
t46,train_046,35.22,-12.15,28.09,-12.15
t47,train_047,12.81,33.74,5.68,33.74
t48,train_048,26.26,0.17,19.13,0.17
t49,train_049,26.04,-17.6,18.91,-17.6
t50,train_050,19.12,14.46,11.99,14.46
o1,eval-open_001,7.63,-35.37,0.5,-35.37
o2,eval-open_002,16.99,18.55,9.86,18.55
o3,eval-open_003,17.54,-30.02,10.41,-30.02
o4,eval-open_004,33.81,-0.12,26.68,-0.12
o5,eval-open_005,30.65,11.64,23.52,11.64
o6,eval-open_006,5.77,26.68,-1.36,26.68
o7,eval-open_007,38.75,0.85,31.62,0.85
o8,eval-open_008,29.38,-17.56,22.25,-17.56
o9,eval-open_009,15.74,33.67,8.61,33.67
o10,eval-open_010,24.67,-20.89,17.54,-20.89
c1,eval-close_001,22.95,-13.42,15.82,-13.42
c2,eval-close_002,3.36,24.81,-3.77,24.81
c3,eval-close_003,30.34,14.09,23.21,14.09
c4,eval-close_004,22.06,28.69,14.93,28.69
c5,eval-close_005,24.19,25.61,17.06,25.61
c6,eval-close_006,30.15,-24.31,23.02,-24.31
c7,eval-close_007,9.43,35.75,2.3,35.75
c8,eval-close_008,7.93,-27.4,0.8,-27.4
c9,eval-close_009,12.33,-34.18,5.2,-34.18
c10,eval-close_010,18.28,-20.13,11.15,-20.13
c11,eval-close_011,22.83,16.3,15.7,16.3
c12,eval-close_012,24.53,7.83,17.4,7.83
c13,eval-close_013,31.39,22.28,24.26,22.28
c14,eval-close_014,26.83,-1.83,19.7,-1.83
c15,eval-close_015,10.51,24.51,3.38,24.51
c16,eval-close_016,24.26,-28.54,17.13,-28.54
c17,eval-close_017,2.53,38.54,-4.6,38.54
c18,eval-close_018,36.95,-9.19,29.82,-9.19
c19,eval-close_019,8.12,-38.02,0.99,-38.02
c20,eval-close_020,31.56,7.78,24.43,7.78
c21,eval-close_021,14.74,-25.47,7.61,-25.47
c22,eval-close_022,1.81,-27.41,-5.32,-27.41
c23,eval-close_023,16.87,-27.63,9.74,-27.63
c24,eval-close_024,26.17,-8.88,19.04,-8.88
c25,eval-close_025,35.18,-2.96,28.05,-2.96
c26,eval-close_026,27.31,6.45,20.18,6.45
c27,eval-close_027,13.5,25.99,6.37,25.99
c28,eval-close_028,29.24,-4.03,22.11,-4.03
c29,eval-close_029,35.43,-14.42,28.3,-14.42
c30,eval-close_030,17.77,20.84,10.64,20.84
